 ,bis,Komplett,Beendet,gelesen bis,Typ,Zugang,Verlag,Kommentar,VÖ +1,VÖ +2,VÖ +3,VÖ +4,VÖ +5
Goblin Slayer LN,16,Nein,Nein,3,Light Novel,12.2022,Altraverse,,TBA,JP 16,,,
Goblin Slayer! Brand New Day,2,Ja,Ja,2,Manga,11.2022,Altraverse,,Beendet,,,,
Goblin Slayer! The Singing Death,9,Nein,Nein,4,Manga,11.2022,Altraverse,,TBA,JP9,,,
Goblin Slayer! Year One,13,Nein,Nein,0,Manga,08.2023,Altraverse,,10.08.2026,JP14,,,
Hell Mode: Unterforderter Hardcore-Gamer findet die ultimative Challenge in einer anderen Welt,6,Nein,Nein,5,Light Novel,12.2023,JNC Nina,,Fortlaufend,,,,
"Herr Lehrer, wir werden die Welt zerstören",7,Nein,Nein,0,Manga,05.2024,Altraverse,,10.08.2026,JP 7,,,
Highschool DxD,12,Ja,Ja,0,Manga,11.2022,Altraverse,Sammelschuber,Beendet,,,,
I'M STANDING ON A MILLION LIVES,19,Nein,Nein,5,Manga,07.2023,Manga Cult,,12.08.2026,,,,
"I""s",15,Ja,Ja,15,Manga,01.1900,Carlsen Manga,Sammelschuber,Beendet,,,,
"Ich bin eine Spinne, na und? - Die vier Schwestern",6,Ja,Ja,0,Manga,10.2022,Manga Cult,,Beendet,,,,
"Ich crafte die krassesten Magie-Items, aber sie sind immer verflucht",8,Nein,Nein,8,Manga,05.2025,Egmont Manga,,08.09.2026,,,,
Ich habe 300 Jahre lang Schleim getötet und aus Versehen das höchste Level erreicht,21,Nein,Nein,2,Light Novel,08.2022,Altraverse,Abschluss Band 30,TBA,,,,
Ich kämpfte zehn Jahre zwischen den Dimensionen und kehrte als Legende zurück,16,Nein,Nein,15,Manga,09.2022,Egmont Manga,,08.09.2026,,,,
Inu Yasha – New Edition,1,Nein,Ja,0,Manga,04.2023,Egmont Manga,,Beendet,,,,
Isekai Samurai,4,Nein,Nein,1,Manga,11.2025,Loewe Manga,,16.07.2026,,,,
Kaiju No. 8,16,Ja,Ja,16,Manga,11.2022,Crunchyroll,,Beendet,,,,
Kaiju No. 8 side B,2,Ja,Ja,0,Manga,11.2025,Crunchyroll,,Beendet,,,,
King in a Lab,5,Ja,Ja,5,Manga,09.2022,Altraverse,Sammelschuber,Beendet,,,,
Konosuba! God's Blessing On This Wonderful World!,9,Nein,Ja,1,Light Novel,12.2022,Tokoypop,,01.09.2026,JP17,,,
Line,1,Ja,Ja,1,Manga,01.1900,Carlsen Manga,,Beendet,,,,
Lovelock of Majestic War,4,Ja,Ja,2,Manga,11.2022,Manga Cult,,Beendet,,,,
Lycoris Recoil: Ganz normale Tage,1,Ja,Ja,0,Light Novel,,Panini Manga,,Beendet,,,,
Lycoris Recoil: React,1,Ja,Ja,0,Manga,11.2024,Panini Manga,,Beendet,,,,
Lycoris Recoil: Reload,3,Ja,Ja,1,Manga,09.2024,Panini Manga,,Beendet,,,,
Magi – The Labyrinth of Magic,37,Ja,Ja,5,Manga,11.2022,Kaze,,Beendet,,,,
Magic – The Gathering: Zerstöre die Menschheit. Sie kann nicht regeneriert werden.,10,Nein,Ja,0,Manga,09.2025,Panini Manga,Abschluss Band 18,18.08.2026,20.10.2026,15.12.2026,,
Magilumiere Inc.,10,Nein,Nein,0,Manga,01.2025,Crunchyroll,Abschluss Band 18,04.09.2026,,,,
Maid Skater,1,Nein,Nein,0,Manga,07.2026,Splitter Manga,,16.11.2026,,,,
Mashle: Magic and Muscles,18,Ja,Ja,5,Manga,08.2022,Carlsen Manga,,Beendet,,,,
Mein Isekai-Leben - Mit der Hilfe von Schleimen zum mächtigsten Magier einer anderen Welt,27,Nein,Nein,27,Manga,02.2023,Altraverse,,14.09.2026,09.11.2026,,,
Mein ruhiges Leben als Schmied in einer anderen Welt,4,Nein,Nein,4,Light Novel,11.2024,JNC Nina,,Gestoppt,,,,
Mein Untergang an der Schule Gottes,12,Nein,Nein,2,Manga,11.2022,Altraverse,,09.11.2026,,,,
Meine Arbeit als Missionar in einer gottlosen Welt,12,Nein,Nein,0,Manga,04.2023,Altraverse,,TBA,,,,
Meine Wiedergeburt als Schleim in einer anderen Welt,29,Nein,Nein,29,Manga,07.2022,Altraverse,,10.08.2026,,,,
Meine Wiedergeburt als Schleim in einer anderen Welt – Das Leben im Land der Dämonen,8,Nein,Nein,4,Manga,09.2024,Altraverse,,14.09.2026,JP 13,,,
Meine Wiedergeburt als Schleim in einer anderen Welt – Kleimans Rache,7,Nein,Nein,5,Manga,11.2023,Altraverse,,10.08.2026,,,,
Meine Wiedergeburt als Schleim in einer anderen Welt LN,22,Nein,Ja,16,Light Novel,12.2022,Altraverse,,14.12.2026,,,,
Mika’s Magic Market,6,Ja,Ja,6,Manga,11.2022,Egmont Manga,,Beendet,,,,
Minecraft – Eine Reise zum Ende der Welt,11,Nein,Nein,2,Manga,12.2024,Egmont Manga,,04.08.2026,,,,
Mononogatari – Die Wächter der Artefaktgeister,14,Nein,Nein,0,Manga,07.2023,Manga Cult,,11.11.2026,10.03.2027,,,
Mushoku Tensei - In dieser Welt mach ich alles anders,22,Nein,Nein,16,Manga,07.2022,Panini Manga,Sammelschuber je 7,TBA,JP 24,,,
Mushoku Tensei: Die Schatten des Magiers,1,Nein,Nein,0,Manga,07.2026,Panini Manga,,22.09.2026,17.11.2026,,,
My Senpai is Annoying,11,Nein,Ja,7,Manga,10.2022,Carlsen Manga,Abschluss Band 13,02.02.2027,,,,
My Status as an Assassin Obviously Exceeds the Hero's,6,Nein,Nein,4,Manga,01.2025,Tokoypop,,TBA,JP 7,,,
